,video_id,prev_job,curr_job,quitting_reasons
0,1LUZ1WyUqG0,"

The former job of the person who posted the video was that they retired at 39.","

The current job of the person who posted the video is retired.","

List:
1. Reached financial independence and retired at 39. 
2. Took 40 hours back from employer to spend however wanted. 
3. Took 40 hours back to do whatever wanted."
1,Awrju75q55U,"

The former job of the person who posted the video is a police lieutenant.","

The current job of the person who posted the video is a policeman.","

List: 
1. Monotony of the job
2. Lack of appreciation for mental health
3. Desire to find a job that brings purpose and happiness"
2,5ocvyofVmBs,"

The former job of the person who posted the video is a server in a restaurant.","

The current job of the person who posted the video is a server in a restaurant.","

Reasons Why the Video Poster Left Their Previous Job:
1. Wanted to move on to the next chapter of their life.
2. Wanted to explore new opportunities.
3. Wanted to thank those who helped them get to where they are."
3,lwvtKVe_iFA,"

The former job of the person who posted the video was a job that could not be monetized, such as a reaction channel.","

The current job of the person who posted the video is quitting their job to pursue their passion.","

List: 
1. Invested in himself and took a risk 
2. Wanted to be an example to his twin girls 
3. Wanted to pursue something he was passionate about"
4,RDc_Pl1ERUI,"

The former job of the person who posted the video was working at Sears.","

The current job of the person who posted the video is quitting their job at Sears.","

Reasons for Leaving Previous Job: 
1. Lack of Hours and Pay 
2. Wacky Dress Code Rules 
3. Found a Job That Would Be More Enjoyable"
5,gbNMBP0e3mo,"

The former job of the person who posted the video was a management consultant in Toronto.","

The current job of the person who posted the video is working in a business operations/strategy role at a startup in the web3/crypto space.","

List of Reasons for Leaving Previous Job:
1. Wanted to explore entrepreneurship and building/owning something
2. Wasn't fully motivated by the job and couldn't see himself doing it for the long term
3. Found a new opportunity that was more closely aligned with his interests and provided more responsibility and flexibility"
6,AbDObwFNXCs,"

The former job of the person who posted the video was a mid-level embedded software engineer.","

The current job of the person who posted the video is content creation full-time.","

List:
1. Feeling that work lacked purpose
2. Chasing money and wasting time
3. Fear of failure and losing comfortable lifestyle"
7,gSWxkKXRLbk,"

It is not possible to answer this question without additional information.","

The current job of the person who posted the video is performing a song called ""I Quit My Job.""","

List of Reasons for Leaving Previous Job:
1. To follow their heart and do what they love
2. To gain freedom
3. To be proud of where they are and follow their dreams with their hands"
8,uMQXysjEkMo,"

The former job of the person who posted the video is working with Zoho.","

The current job of the person who posted the video is making content for Instagram Lavender.","

List: 
1. Wanted to pursue other interests
2. Wanted to work for a dream company
3. Wanted to create content for students and young people."
9,I3lvRj4UhvM,"

The former job of the person who posted the video was teaching.","

The person who posted the video is currently a freelancer.","

List of Reasons for Leaving Previous Job:
1. Job was killing my soul
2. Wanted more financial, location, and time freedom
3. Wanted a career that allowed me to work at my own preferred time and declare holidays when needed"
10,AnHnhhBUe6g,"

The former job of the person who posted the video was a full-time job.","

The current job of the person who posted the video is that they quit their full-time job last year.","

List: 
1. Having an idea for a product that doesn't exist
2. Having passions outside of the job
3. Not having the opportunity to develop new skills or advance in the job."
11,QXSquAP2AGA,"

The former job of the person who posted the video was a management consultant in Toronto.","

The current job of the person who posted the video is working in a business operations/strategy role at a startup in the web3/crypto space.","

List of Reasons for Leaving Previous Job:
1. Wanted to pursue entrepreneurship and build/own something
2. Not fully motivated by professional services work
3. Wanted more responsibility and flexibility in a new role"
12,odN3ON4ZVOE,"

The former job of the person who posted the video is a local newspaper reporter.","

Paula Pant is currently a financial journalist and personal finance expert.","

1. Lack of job satisfaction
2. Unfulfilling career path
3. Low pay and benefits"
13,qypjdC1RIrI,"

It is not possible to determine the former job of the person who posted the video based on the transcript provided.","

The person who posted the video does not appear to have a current job.","

1. Lack of career growth opportunities
2. Unsatisfactory salary 
3. Unfulfilling work environment"
14,-0CoPy2QF80,"

The former job of the person who posted the video was law enforcement.","

The current job of the person who posted the video is law enforcement.","

Reasons Why the Video Poster Left their Previous Job: 
1. Not being paid on time 
2. Dishonest stuff going on 
3. Red flags within the culture of the company"
15,g9Xp6gJHo-w,"

The former job of the person who posted the video was working on the YouTube department at Google, where they managed relationships between YouTube and its top partners in North and South America.","

The current job of the person who posted the video is that they recently left Google, where they worked in the YouTube department managing relationships between YouTube and their top partners in North and South America.","

Reasons for Leaving Previous Job:
1. Wanted to explore new opportunities
2. Enjoyed the travel and benefits of the job
3. Wanted to capture the moment on camera"
16,vOLJTn0KuKY,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is real estate.","

List: 
1. Selling their rental and current home to start buying houses to live in and flip as they go.
2. Working for his wife when she's listing and selling houses and fixing homes up to juice his income.
3. Doing a side hustle and building it up while still needing the income from their current job."
17,cTaEUDIqNOw,"

It is not possible to determine the former job of the person who posted the video from this transcript.","

The current job of the person who posted the video is not specified in the transcript.","

List:
1. Not being happy with the current situation
2. Needed to make big decisions and take risks
3. Believing that the future will be better than the past"
18,rJwW7VRu-KI,"

The former job of the person who posted the video was a project manager at a firm in Austin.","

The current job of the person who posted the video is a full-time day trader.","

Reasons why the video poster left their previous job:
1. Wanted to focus more on day trading and futures
2. Wanted to have more free time
3. Wanted to document their journey and share it with their viewers"
19,r3vrmX8f1q0,"

The former job of the person who posted the video was lifeguarding.","

The current job of the person who posted the video is that they have two jobs now and are ""super happy"".","

List of Reasons for Leaving Job:
1. Vacation request denied
2. Inadequate recertification credentials
3. Injured on the job and lack of support from boss"
20,wmk5T3bn_Rw,"

The former job of the person who posted the video is disability lawyer.","

The current job of the person who posted the video is Disability Lawyer.","

List of Reasons for Leaving Previous Job:
1. Quitting could cause problems with the disability claim
2. Quitting could forfeit other employee benefits
3. Quitting could be seen as a red flag by the insurance company"
21,koNKtXTNWIQ,"

The former job of the person who posted the video is I.T.","

The current job of the person who posted the video is working in I.T.","

Reasons for Leaving Previous Job:
1. Wanted to pursue a passion in I.T.
2. Girlfriend wanted to move three hours away for optometry school.
3. Dream job opportunity presented itself."
22,xI3ReGb013A,"

The former job of the person who posted the video is I.T.","

The current job of the person who posted the video is working in I.T.","

Reasons why the video poster left their previous job:
1. They wanted to pursue their passion in I.T.
2. They wanted to stay in their current job while their girlfriend attended optometry school three hours away.
3. They wanted to wait to get married until their girlfriend finished school and got a full-time job."
23,kc_Hv9BD-BQ,"

It is not possible to determine the former job of the person who posted the video from this transcript.","

The current job of the person who posted the video is likely a musician or songwriter.","

Reasons Why the Video Poster Left Their Previous Job:
1. To do what they love.
2. To follow their heart.
3. To be free."
24,g2WvpIMR2sc,"

The former job of the person who posted the video is a nine-to-five job.","

The current job of the person who posted the video is traveling the United States and working on a podcast.","

List of Reasons for Leaving Previous Job:
1. Desire for more freedom and lack of structure
2. Opportunity to do what they want every day
3. More productive and passionate about something other than working for a paycheck"
25,Zo46vgCF5pg,"

The former job of the person who posted the video was playing professionally football in the Netherlands.","

The current job of the person who posted the video is switching careers.","

List: 
1. To travel and explore 
2. To switch careers 
3. To gain perspective on the value of time"
26,j0N7Ede66mY,"

The former job of the person who posted the video is British Airways captain.","

The current job of the person who posted the video is a British Airways captain.","

List: 
1. Unsustainable work hours 
2. Lack of tangible benefits or tangible gains  
3. Need for a job that was creative and something to be passionate about"
27,WdXsrrxymT8,"

The former job of the person who posted the video is not specified in the transcript.","

The current job of the person who posted the video is that they have quit their job.","

List: 
1. Wanted to do what they love 
2. Didn't want to be taken advantage of 
3. Wanted freedom and to follow their dreams"
28,RIJse31LBIY,"

The former job of the person who posted the video was working at Costco.","

The current job of the person who posted the video is not specified.","

List of Reasons for Leaving Previous Job:
1. Unfair dress code policies
2. Discriminatory policies against certain hairstyles
3. Ridiculous rules about pineapple headbands"
29,FyE9EEY5c04,"

The former job of the person who posted the video was working at Costco.","

The current job of the person who posted the video is not specified.","

List of Reasons Why the Video Poster Left Their Previous Job: 
1. Unfair Dress Code 
2. Discriminatory Treatment 
3. Unreasonable Expectations"
30,TGFkwb_nc2k,"

The former job of the person who posted the video was a recruiter for a staffing company.","

The current job of the person who posted the video is a recruiter for a staffing company.","

List of Reasons for Leaving Job:
1. Boredom with the job 
2. Unsatisfactory pay 
3. Long commute times"
31,yYCCOBctFaE,"

The former job of the person who posted the video was a project manager in the IT field in the Fort Lauderdale Miami area.","

The person who posted the video is currently teaching English abroad and getting certifications, such as a Florida State teaching license and a master's degree in education. They are also doing videos and interacting with people all around the world.","

List:
1. Feeling unfulfilled in job
2. Economic meltdown
3. Opportunity to travel and explore the world"
